입국자국가,국가코드,입국연월,입국자 수
중국,112,202401,280035
중국,112,202402,343719
중국,112,202403,391347
중국,112,202404,411331
중국,112,202405,395222
중국,112,202406,397325
중국,112,202407,459069
중국,112,202408,505559
중국,112,202409,422809
중국,112,202410,392230
중국,112,202411,297840
중국,112,202412,306787
중국,112,202501,364460
중국,112,202502,340860
중국,112,202503,416849
중국,112,202504,443230
중국,112,202505,484390
중국,112,202506,477052
중국,112,202507,602147
중국,112,202508,604618
중국,112,202509,503186
중국,112,202510,472477
중국,112,202511,377866
중국,112,202512,393834
